ID,Exercise,Type,Efficiency,Active,Pecs,Lats,Traps,Rhomboids,Lower back,Side delts,Front delts,Rear delts,Biceps,Triceps,Forearms,Front abs,Deep abs,Obliques,Quads,Hamstrings,Glutes,Calves,Adductors,Abductors
1,Cycling machine,Cardio,,1,,,,,,,,,,,,,,,1,0.8,0.7,1,,
2,Lateral elliptical machine,Cardio,,1,,,,,,,,,,,,,,,1,0.7,0.8,0.7,0.8,0.8
3,Rowing machine,Cardio,,1,,1,0.7,0.7,0.7,,,,0.5,,0.7,,0.5,,0.7,0.7,0.9,,,
4,Stair climbing machine,Cardio,,1,,,,,,,,,,,,,,,1,0.7,0.7,1,0.5,
5,Treadmill running,Cardio,,1,,,,,,,,,,,,,,,1,0.7,0.7,1,,
6,Back Hyperextensions,Lift,2,,,,,,1,,,,,,,,,,,0.5,0.7,,,
7,Barbell bent-over rows,Lift,3,,,1,0.7,0.7,0.8,,,,0.5,,0.5,,,,,,,,,
8,Barbell deadlifts,Lift,3,1,,,,,1,,,,,,1,,0.5,,0.6,0.7,1,,,
9,Cable lat pulldowns,Lift,2,,,1,0.5,0.6,,,,,0.6,,0.5,,,,,,,,,
10,Cable seated rows,Lift,2,1,,1,0.6,0.7,,,,,0.5,,0.5,,,,,,,,,
11,Chin-ups,Lift,3,1,,1,0.5,0.5,,,,,0.8,,0.8,,,,,,,,,
12,Inverted rows,Lift,2,,,1,0.6,0.6,,,,,0.6,,0.5,,,,,,,,,
13,Kettlebell Swings,Lift,2,,,,,,0.7,,,,,,,,,,0.6,0.6,1,,,
14,Machine seated rows,Lift,2,,,1,0.6,0.7,,,,,0.5,,0.5,,,,,,,,,
15,One arm dumbbell rows,Lift,1,,,1,0.6,0.7,,,,,0.7,,0.5,,,,,,,,,
16,Pull-ups,Lift,3,1,,1,0.5,0.5,,,,,,,1,,,,,,,,,
17,Romanian deadlifts,Lift,2,,,,,,0.8,,,,,,,,,,0.6,1,0.9,,,
18,Dumbbell curls,Lift,1,1,,,,,,,,,1,,,,,,,,,,,
19,EZ bar biceps curls,Lift,1,,,,,,,,,,1,,,,,,,,,,,
20,EZ bar close grip biceps curls,Lift,1,,,,,,,,,,1,,0.5,,,,,,,,,
21,Incline face down dumbbell curls,Lift,1,,,,,,,,,,1,,0.5,,,,,,,,,
22,Preacher curls,Lift,1,,,,,,,,,,1,,0.5,,,,,,,,,
23,Barbell bench presses,Lift,3,1,1,,,,,,0.5,,,0.8,,,,,,,,,,
24,Cable crossovers,Lift,1,,1,,,,,,,,,,,,,,,,,,,
25,Dumbbell decline bench presses,Lift,2,1,1,,,,,,0.5,,,0.8,0.5,,,,,,,,,
26,Dumbbell incline bench presses,Lift,2,1,0.8,,,,,,0.8,,,0.8,0.5,,,,,,,,,
27,Push-ups,Lift,2,,0.8,,,,,,0.5,,,1,,,,,,,,,,
28,Cable standing oblique twists,Lift,1,1,,,,,,,,,,,,,0.6,1,,,,,,
29,Hanging leg raises,Lift,2,1,,,,,,,,,,,1,0.8,1,0.5,,,,,,
30,Plank,Lift,2,,,,,,,,,,,,,1,1,0.6,,,,,,
31,Weighted decline crunches,Lift,2,1,,,,,,,,,,,,1,0.6,,,,,,,
32,Plate pinches,Lift,1,,,,,,,,,,,,1,,,,,,,,,
33,Reverse wrist curls,Lift,1,,,,,,,,,,,,1,,,,,,,,,
34,Wrist curls,Lift,1,,,,,,,,,,,,1,,,,,,,,,
35,Barbell front squats,Lift,2,,,,,,0.5,,,,,,,,,,1,0.7,0.7,0.5,0.6,
36,Barbell hip thrusts,Lift,1,1,,,,,0.5,,,,,,,,0.5,,,0.8,1,,,
37,Barbell low-bar squats,Lift,3,1,,,,,0.5,,,,,,,,0.5,,0.8,0.7,0.9,0.5,0.5,
38,Cable hip abductions,Lift,1,1,,,,,,,,,,,,,,,,,,,,1
39,Cable hip adductions,Lift,1,1,,,,,,,,,,,,,,,,,,,1,
40,Calf presses,Lift,1,1,,,,,,,,,,,,,,,,,,1,,
41,Dumbbell walking lunges,Lift,2,1,,,,,0.5,,,,,,,,,,0.9,0.7,0.8,0.5,0.6,0.6
42,Goblet squats,Lift,2,,,,,,0.5,,,,,,,,,,1,0.7,0.7,0.5,0.6,
43,Kettlebell cossack squats,Lift,2,,,,,,0.5,,,,,,,,,,1,0.7,0.7,0.5,0.8,0.8
44,Leg presses,Lift,2,1,,,,,,,,,,,,,,,0.9,0.7,0.9,0.5,0.6,
45,Machine seated leg curls,Lift,1,1,,,,,,,,,,,,,,,,1,0.5,,,
46,Seated leg extensions,Lift,1,1,,,,,,,,,,,,,,,1,,,,,
47,Sumo deadlifts,Lift,2,,,,0.5,0.5,1,,,,,,,,,,0.7,0.7,0.7,,0.6,
48,Barbell overhead presses,Lift,3,1,,,,,,0.7,0.9,,,0.7,,,,,,,,,,
49,Cable face pulls,Lift,1,1,,,0.5,1,,,,0.7,,,,,,,,,,,,
50,Cable shoulder shrugs,Lift,1,1,,,1,,,,,,,,,,,,,,,,,
51,Dumbbell front raises,Lift,1,,,,,,,0.7,1,,,,0.5,,,,,,,,,
52,Dumbbell seated front shoulder presses,Lift,1,,,,,,,0.7,1,,,0.7,0.5,,,,,,,,,
53,Dumbbell seated side shoulder presses,Lift,1,,,,,,,1,0.8,,,0.7,0.5,,,,,,,,,
54,Dumbbell shoulder shrugs,Lift,1,,,,1,,,,,,,,0.5,,,,,,,,,
55,Egyptian cable lateral raises,Lift,1,1,,,,,,1,0.5,,,,,,,,,,,,,
56,Standing cable reverse flyes,Lift,1,1,,,0.5,0.9,,,,1,,,,,,,,,,,,
57,Cable triceps extensions,Lift,1,1,,,,,,,,,,1,,,,,,,,,,
58,EZ bar decline close grip skull crushers,Lift,1,1,,,,,,,,,,1,,,,,,,,,,
59,Triceps dips,Lift,2,1,0.5,,,,,,,,,1,,,,,,,,,,
