Date,Exercise_1,Exercise_2,Exercise_3,Exercise_4,Exercise_5,Exercise_6,Exercise_7,Exercise_8,Exercise_9,Exercise_10,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10
01/01/24,1e,2e,3e,4e,5e,6e,7e,8e,9e,10e,Cycling SS 15m,Lateral elliptical SS 15m,Rowing SS 15m,Stair climbing SS 15m,Running SS 15m,Back Hyperextensions,Barbell bent-over rows,Barbell deadlifts,Cable lat pulldowns,Cable seated rows
11/08/24,8,41,61,,,,,,,,Barbell deadlifts,Dumbbell walking lunges,Cycling SS 10m,,,,,,,
12/08/24,76,53,,,,,,,,,Bodyweight squats,Dumbbell seated side shoulder presses,,,,,,,,
14/08/24,52,30,,,,,,,,,Dumbbell seated front shoulder presses,Plank,,,,,,,,
17/08/24,42,5,68,,,,,,,,Goblet squats,Running SS 15m,Rowing SS 5m,,,,,,,
21/08/24,26,15,,,,,,,,,Dumbbell incline bench presses,One arm dumbbell rows,,,,,,,,
26/08/24,41,27,,,,,,,,,Dumbbell walking lunges,Push-ups,,,,,,,,
01/09/24,48,71,,,,,,,,,Barbell overhead presses,Running SS 20m,,,,,,,,
08/09/24,8,76,67,,,,,,,,Barbell deadlifts,Bodyweight squats,Rowing SS 10m,,,,,,,
16/09/24,41,42,,,,,,,,,Dumbbell walking lunges,Goblet squats,,,,,,,,
25/09/24,53,30,,,,,,,,,Dumbbell seated side shoulder presses,Plank,,,,,,,,
